date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2024-01-02,BUY,COST,15,642.64,9639.54,,,90360.46
2024-01-02,BUY,INTC,207,47.17,9763.83,,,80596.62
2024-01-02,BUY,GOOGL,71,137.04,9729.65,,,70866.97
2024-01-02,BUY,META,28,343.59,9620.62,,,61246.35
2024-01-02,BUY,LLY,16,583.03,9328.5,,,51917.85
2024-01-02,BUY,ADBE,16,580.07,9281.12,,,42636.73
2024-01-02,BUY,AMD,70,138.58,9700.6,,,32936.13
2024-01-02,BUY,TSLA,39,248.42,9688.38,,,23247.75
2024-01-02,BUY,NVDA,203,48.14,9772.13,,,13475.62
2024-01-02,BUY,NFLX,209,46.85,9791.65,,,3683.97
2024-01-11,SELL,TSLA,39,227.22,8861.58,-826.8,-8.53,12545.55
2024-01-12,BUY,BLK,16,761.03,12176.44,,,369.11
2024-01-26,SELL,INTC,207,43.07,8916.14,-847.7,-8.68,9285.25
2024-01-26,BUY,PG,62,148.31,9195.23,,,90.02
2024-02-01,SELL,COST,15,696.83,10452.39,812.85,8.43,10542.41
2024-02-01,SELL,AMD,70,170.48,11933.6,2233.0,23.02,22476.01
2024-02-01,SELL,NVDA,203,62.99,12786.67,3014.54,30.85,35262.67
2024-02-01,SELL,NFLX,209,56.75,11860.96,2069.31,21.13,47123.63
2024-02-01,SELL,BLK,16,747.07,11953.04,-223.4,-1.83,59076.68
2024-02-01,BUY,MSFT,28,396.94,11114.38,,,47962.3
2024-02-01,BUY,AMZN,71,159.28,11308.88,,,36653.42
2024-02-01,BUY,CMCSA,279,40.76,11373.38,,,25280.03
2024-02-01,BUY,INTC,265,42.79,11338.54,,,13941.49
2024-02-01,BUY,CRM,40,280.39,11215.73,,,2725.76
2024-02-06,SELL,CMCSA,279,38.75,10811.16,-562.22,-4.94,13536.93
2024-02-06,BUY,CAT,43,313.62,13485.51,,,51.42
2024-03-01,SELL,GOOGL,71,136.02,9657.12,-72.53,-0.75,9708.54
2024-03-01,SELL,META,28,498.92,13969.69,4349.07,45.21,23678.24
2024-03-01,SELL,LLY,16,771.36,12341.76,3013.26,32.3,36020.0
2024-03-01,SELL,ADBE,16,570.93,9134.88,-146.24,-1.58,45154.88
2024-03-01,SELL,PG,62,150.88,9354.83,159.6,1.74,54509.7
2024-03-01,SELL,MSFT,28,409.22,11458.13,343.75,3.09,65967.84
2024-03-01,SELL,INTC,265,43.37,11492.42,153.88,1.36,77460.26
2024-03-01,BUY,NVDA,130,82.23,10689.74,,,66770.52
2024-03-01,BUY,WMT,186,57.4,10675.6,,,56094.92
2024-03-01,BUY,AMD,52,202.64,10537.28,,,45557.64
2024-03-01,BUY,NFLX,173,61.93,10714.58,,,34843.06
2024-03-01,BUY,COST,14,741.3,10378.17,,,24464.89
2024-03-01,BUY,MA,22,471.22,10366.76,,,14098.13
2024-03-01,BUY,SO,171,62.57,10699.09,,,3399.03
2024-03-11,SELL,COST,14,706.32,9888.51,-489.66,-4.72,13287.54
2024-03-21,BUY,NKE,137,96.55,13227.33,,,60.21
2024-03-22,SELL,NKE,137,89.88,12314.2,-913.13,-6.9,12374.41
2024-03-26,SELL,AMD,52,177.87,9249.24,-1288.04,-12.22,21623.65
